Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,stress_bottom_0,stress_bottom_1,stress_bottom_2,stress_bottom_3,stress_bottom_4,stress_bottom_5,stress_bottom_Magnitude
bottom-body,71,-0.25,-0.35,0.027035,0.430965,0.00613337,0.00200717,0.000432209,-3.66624e-05,0.000247856,0.015318,0.0166294
bottom-body,72,-0.25,-0.25,0.0243531,0.354391,0.0060241,0.00189394,5.97728e-05,-2.56963e-05,0.000158357,0.0153789,0.0166258
bottom-body,73,-0.25,-0.15,0.0216713,0.292352,0.00597677,0.00182418,-0.000106115,-1.51459e-05,8.46881e-05,0.0154186,0.0166373
bottom-body,74,-0.25,-0.05,0.0189894,0.255657,0.00596023,0.00179441,-0.000169126,-4.91212e-06,2.6679e-05,0.0154377,0.0166462
bottom-body,75,-0.25,0.05,0.0163076,0.255472,0.00596023,0.00179441,-0.000169126,4.91212e-06,-2.6679e-05,0.0154377,0.0166462
bottom-body,76,-0.25,0.15,0.0136257,0.291866,0.00597677,0.00182418,-0.000106115,1.51459e-05,-8.46881e-05,0.0154186,0.0166373
bottom-body,77,-0.25,0.25,0.0109439,0.353723,0.0060241,0.00189394,5.97728e-05,2.56963e-05,-0.000158357,0.0153789,0.0166258
bottom-body,78,-0.25,0.35,0.00826204,0.430196,0.00613337,0.00200717,0.000432209,3.66624e-05,-0.000247856,0.015318,0.0166294
bottom-body,79,-0.25,0.45,0.00558019,0.514812,0.00655936,0.00226626,0.00174929,4.01168e-05,-0.000448539,0.0152775,0.0168768
bottom-body,80,-0.35,-0.45,0.0460382,0.571944,0.00531288,0.00186029,0.00139728,-5.52472e-05,0.000368548,0.0139614,0.0151228
bottom-body,81,-0.35,-0.35,0.0433563,0.49687,0.00497591,0.00162551,0.000338346,-5.63895e-05,0.0001618,0.0140463,0.0149948
bottom-body,82,-0.35,-0.25,0.0406745,0.432035,0.00492154,0.00155471,0.0001073,-4.00526e-05,0.000102507,0.0141329,0.0150466
bottom-body,83,-0.35,-0.15,0.0379926,0.382679,0.00489906,0.00151017,1.93728e-06,-2.30936e-05,5.36835e-05,0.0141827,0.0150809
bottom-body,84,-0.35,-0.05,0.0353108,0.355312,0.00489249,0.00149224,-3.69721e-05,-7.43385e-06,1.68627e-05,0.0142063,0.0150991
bottom-body,85,-0.35,0.05,0.0326289,0.355056,0.00489249,0.00149224,-3.69721e-05,7.43385e-06,-1.68627e-05,0.0142063,0.0150991
bottom-body,86,-0.35,0.15,0.0299471,0.381964,0.00489906,0.00151017,1.93728e-06,2.30936e-05,-5.36835e-05,0.0141827,0.0150809
bottom-body,87,-0.35,0.25,0.0272652,0.43098,0.00492154,0.00155471,0.0001073,4.00526e-05,-0.000102507,0.0141329,0.0150466
bottom-body,88,-0.35,0.35,0.0245834,0.495585,0.00497591,0.00162551,0.000338346,5.63895e-05,-0.0001618,0.0140463,0.0149948
bottom-body,89,-0.35,0.45,0.0219015,0.570508,0.00531288,0.00186029,0.00139728,5.52472e-05,-0.000368548,0.0139614,0.0151228
bottom-body,90,-0.45,-0.45,0.0623595,0.639444,0.00336513,0.00127147,0.00105694,-6.87336e-05,0.00016053,0.0123242,0.0128831
bottom-body,91,-0.45,-0.35,0.0596777,0.573203,0.00323657,0.00116796,0.000612279,-7.45516e-05,5.48774e-05,0.0125513,0.0130292
bottom-body,92,-0.45,-0.25,0.0569958,0.517927,0.00323873,0.0011516,0.000545262,-5.03084e-05,3.54883e-05,0.0126476,0.0131178
bottom-body,93,-0.45,-0.15,0.054314,0.477441,0.00324125,0.00113956,0.000512224,-2.80235e-05,1.81428e-05,0.0127044,0.0131708
bottom-body,94,-0.45,-0.05,0.0516321,0.455704,0.00324381,0.00113531,0.000500812,-8.93386e-06,5.69917e-06,0.0127301,0.0131954
bottom-body,95,-0.45,0.05,0.0489503,0.455408,0.00324381,0.00113531,0.000500812,8.93386e-06,-5.69917e-06,0.0127301,0.0131954
bottom-body,96,-0.45,0.15,0.0462684,0.476593,0.00324125,0.00113956,0.000512224,2.80235e-05,-1.81428e-05,0.0127044,0.0131708
bottom-body,97,-0.45,0.25,0.0435866,0.516623,0.00323873,0.0011516,0.000545262,5.03084e-05,-3.54883e-05,0.0126476,0.0131178
bottom-body,98,-0.45,0.35,0.0409047,0.571553,0.00323657,0.00116796,0.000612279,7.45516e-05,-5.48774e-05,0.0125513,0.0130292
bottom-body,99,-0.45,0.45,0.0382229,0.637543,0.00336513,0.00127147,0.00105694,6.87336e-05,-0.00016053,0.0123242,0.0128831
